date,inspected,inspected_cum
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,1,NA
2020-12-25,1,NA
2020-12-25,1,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,1,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,1,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,1,NA
2020-12-25,NA,NA
2020-12-25,1,NA
2020-12-25,1,NA
2020-12-25,1,NA
2020-12-25,1,NA
2020-12-25,NA,NA
2020-12-25,1,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,1,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,1,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,1,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,1,NA
2020-12-25,1,NA
2020-12-25,1,NA
2020-12-25,1,NA
2020-12-25,1,NA
2020-12-25,1,NA
2020-12-25,NA,NA
2020-12-25,1,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,1,NA
2020-12-25,1,NA
2020-12-25,1,NA
2020-12-25,1,NA
2020-12-25,1,NA
2020-12-25,1,NA
2020-12-25,NA,NA
2020-12-25,1,NA
2020-12-25,1,NA
2020-12-25,1,NA
2020-12-25,1,NA
2020-12-25,1,NA
2020-12-25,1,NA
2020-12-25,1,NA
2020-12-25,1,NA
2020-12-25,1,NA
2020-12-25,1,NA
2020-12-25,1,NA
2020-12-25,1,NA
2020-12-25,1,NA
2020-12-25,1,NA
2020-12-25,1,NA
2020-12-25,1,NA
2020-12-25,1,NA
2020-12-25,1,NA
2020-12-25,NA,NA
2020-12-25,1,NA
2020-12-25,NA,NA
2020-12-25,1,NA
2020-12-25,1,NA
2020-12-25,1,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,1,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,1,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,1,NA
2020-12-25,NA,NA
2020-12-25,1,NA
2020-12-25,1,NA
2020-12-25,1,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,1,NA
2020-12-25,NA,NA
2020-12-25,1,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,1,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,1,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,1,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,1,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,1,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,NA,NA
2020-12-25,1,NA
2020-12-25,1,NA
2020-12-25,1,NA
2020-12-25,1,NA
2020-12-26,NA,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,NA,NA
2020-12-26,NA,NA
2020-12-26,NA,NA
2020-12-26,NA,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,NA,NA
2020-12-26,NA,NA
2020-12-26,NA,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,NA,NA
2020-12-26,NA,NA
2020-12-26,1,NA
2020-12-26,NA,NA
2020-12-26,NA,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,NA,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,NA,NA
2020-12-26,NA,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,NA,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,NA,NA
2020-12-26,NA,NA
2020-12-26,NA,NA
2020-12-26,NA,NA
2020-12-26,NA,NA
2020-12-26,NA,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,NA,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,NA,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
2020-12-26,1,NA
