date,severe_cases
2020-05-09,0
2020-05-10,0
2020-05-11,0
2020-05-12,11
2020-05-13,11
2020-05-14,10
2020-05-15,10
2020-05-16,10
2020-05-17,10
2020-05-18,8
2020-05-19,8
2020-05-20,6
2020-05-21,4
2020-05-22,5
2020-05-23,5
2020-05-24,5
2020-05-25,5
2020-05-26,5
2020-05-27,6
2020-05-28,6
2020-05-29,4
2020-05-30,4
2020-05-31,4
2020-06-01,4
2020-06-02,4
2020-06-03,5
2020-06-04,5
2020-06-05,5
2020-06-06,5
2020-06-07,5
2020-06-08,5
2020-06-09,6
2020-06-10,3
2020-06-11,3
2020-06-12,2
2020-06-13,2
2020-06-14,2
2020-06-15,2
2020-06-16,2
2020-06-17,2
2020-06-18,3
2020-06-19,3
2020-06-20,2
2020-06-21,2
2020-06-22,2
2020-06-23,2
2020-06-24,2
2020-06-25,2
2020-06-26,2
2020-06-27,2
2020-06-28,2
2020-06-29,2
2020-06-30,2
2020-07-01,2
2020-07-02,2
2020-07-03,2
2020-07-04,2
2020-07-05,2
2020-07-06,2
2020-07-07,2
2020-07-08,2
2020-07-09,3
2020-07-10,4
2020-07-11,4
2020-07-12,4
2020-07-13,4
2020-07-14,4
2020-07-15,4
2020-07-16,4
2020-07-17,3
2020-07-18,3
2020-07-19,3
2020-07-20,4
2020-07-21,4
2020-07-22,4
2020-07-23,3
2020-07-24,3
2020-07-25,4
2020-07-26,4
2020-07-27,4
2020-07-28,4
2020-07-29,5
2020-07-30,5
2020-07-31,4
2020-08-01,4
2020-08-02,3
2020-08-03,3
2020-08-04,8
2020-08-05,11
2020-08-06,12
2020-08-07,12
2020-08-08,14
2020-08-09,15
2020-08-10,16
2020-08-11,16
2020-08-12,21
2020-08-13,21
2020-08-14,19
2020-08-15,17
2020-08-16,19
2020-08-17,21
2020-08-18,23
2020-08-19,22
2020-08-20,17
2020-08-21,16
2020-08-22,16
2020-08-23,15
2020-08-24,16
2020-08-25,16
2020-08-26,16
2020-08-27,16
2020-08-28,14
2020-08-29,14
2020-08-30,12
2020-08-31,12
2020-09-01,14
2020-09-02,14
2020-09-03,15
2020-09-04,13
2020-09-05,15
2020-09-06,15
2020-09-07,15
2020-09-08,19
2020-09-09,17
2020-09-10,16
2020-09-11,16
2020-09-12,15
2020-09-13,15
2020-09-14,13
2020-09-15,13
2020-09-16,10
2020-09-17,8
2020-09-18,9
2020-09-19,10
2020-09-20,11
2020-09-21,12
2020-09-22,12
2020-09-23,12
2020-09-24,10
2020-09-25,10
2020-09-26,10
2020-09-27,10
2020-09-28,10
2020-09-29,10
2020-09-30,9
2020-10-01,7
2020-10-02,7
2020-10-03,6
2020-10-04,6
2020-10-05,6
2020-10-06,6
2020-10-07,6
2020-10-08,6
2020-10-09,6
2020-10-10,6
2020-10-11,6
2020-10-12,6
2020-10-13,7
2020-10-14,7
2020-10-15,7
2020-10-16,7
2020-10-17,6
2020-10-18,6
2020-10-19,5
2020-10-20,5
2020-10-21,5
2020-10-22,5
2020-10-23,5
2020-10-24,4
2020-10-25,4
2020-10-26,4
2020-10-27,4
2020-10-28,4
2020-10-29,4
2020-10-30,4
2020-10-31,4
2020-11-01,3
2020-11-02,3
2020-11-03,4
2020-11-04,4
2020-11-05,4
2020-11-06,4
2020-11-07,4
2020-11-08,4
2020-11-09,4
2020-11-10,4
2020-11-11,4
2020-11-12,4
2020-11-13,4
2020-11-14,4
2020-11-15,4
2020-11-16,4
