date,bed,severe_bed,hotel_room
2020-12-25,551,90,1057
2020-12-26,551,90,1057
2020-12-27,551,90,1057
2020-12-28,551,90,1057
2020-12-29,551,90,1057
2020-12-30,576,105,1057
2020-12-31,576,105,1057
2021-01-01,576,105,1057
2021-01-02,576,105,1057
2021-01-03,576,105,1057
2021-01-04,576,105,1057
2021-01-05,576,105,1057
2021-01-06,600,110,1057
2021-01-07,600,110,1057
2021-01-08,610,110,1057
2021-01-09,610,110,1057
2021-01-10,610,110,1057
2021-01-11,610,110,1057
2021-01-12,610,110,1057
2021-01-13,620,110,1057
2021-01-14,620,110,1057
2021-01-15,620,110,1057
2021-01-16,620,110,1057
2021-01-17,620,110,1057
2021-01-18,620,110,1057
2021-01-19,620,110,1057
2021-01-20,641,110,1057
2021-01-21,651,110,1057
2021-01-22,665,110,1057
2021-01-23,665,110,1194
2021-01-24,665,110,1194
2021-01-25,665,110,1194
2021-01-26,665,110,1194
2021-01-27,677,110,1387
2021-01-28,677,110,1387
2021-01-29,691,110,1387
2021-01-30,691,110,1387
2021-01-31,691,110,1387
2021-02-01,691,110,1387
2021-02-02,691,110,1387
2021-02-03,691,110,1387
2021-02-04,710,110,1387
2021-02-05,710,110,1387
2021-02-06,710,110,1387
2021-02-07,710,110,1387
2021-02-08,722,110,1387
2021-02-09,722,110,1387
2021-02-10,732,110,1387
2021-02-11,732,110,1387
2021-02-12,732,110,1387
2021-02-13,732,110,1387
2021-02-14,732,110,1387
2021-02-15,732,110,1387
2021-02-16,732,110,1387
2021-02-17,732,110,1387
2021-02-18,742,111,1387
2021-02-19,742,111,1387
2021-02-20,742,111,1387
2021-02-21,742,111,1387
2021-02-22,742,111,1387
2021-02-23,742,111,1387
2021-02-24,764,111,1387
2021-02-25,764,111,1387
2021-02-26,764,111,1387
2021-02-27,764,111,1387
2021-02-28,764,111,1387
2021-03-01,764,111,1387
2021-03-02,764,111,1387
2021-03-03,764,111,1387
2021-03-04,764,111,1387
2021-03-05,770,111,1387
2021-03-06,770,111,1387
2021-03-07,770,111,1387
2021-03-08,770,111,1387
2021-03-09,770,111,1387
2021-03-10,770,111,1387
2021-03-11,770,111,1387
2021-03-12,770,111,1387
2021-03-13,770,111,1387
2021-03-14,770,111,1387
2021-03-15,770,111,1387
2021-03-16,770,111,1387
2021-03-17,770,111,1387
2021-03-18,770,111,1387
2021-03-19,770,111,1387
2021-03-20,770,111,1387
2021-03-21,770,111,1387
2021-03-22,770,111,1387
2021-03-23,770,111,1387
2021-03-24,770,111,1387
2021-03-25,770,111,1387
2021-03-26,770,111,1387
2021-03-27,770,111,1387
2021-03-28,770,111,1387
2021-03-29,770,111,1387
2021-03-30,770,111,1387
2021-03-31,770,111,1387
2021-04-01,770,111,1387
2021-04-02,770,111,1387
2021-04-03,770,111,1387
2021-04-04,770,111,1387
2021-04-05,770,111,1387
2021-04-06,770,111,1387
2021-04-07,770,111,1387
2021-04-08,770,111,1387
2021-04-09,770,111,1387
2021-04-10,770,111,1387
2021-04-11,770,111,1387
2021-04-12,770,111,1387
2021-04-13,770,111,1387
2021-04-14,770,111,1387
2021-04-15,802,111,1387
2021-04-16,802,111,1387
2021-04-17,802,111,1387
2021-04-18,802,111,1387
2021-04-19,802,111,1387
2021-04-20,802,111,1387
2021-04-21,802,111,1387
2021-04-22,802,111,1387
2021-04-23,802,111,1387
2021-04-24,802,111,1387
2021-04-25,802,111,1387
2021-04-26,802,111,1387
2021-04-27,807,111,1387
2021-04-28,858,113,1387
2021-04-29,858,113,1387
2021-04-30,921,132,1387
2021-05-01,921,132,1387
2021-05-02,921,132,1387
2021-05-03,940,136,1387
2021-05-04,940,136,1387
2021-05-05,940,136,1387
2021-05-06,940,136,1387
2021-05-07,1007,136,1538
2021-05-08,1007,136,1538
2021-05-09,1007,136,1538
2021-05-10,1007,136,1538
2021-05-11,1007,136,1538
2021-05-12,1049,136,1538
2021-05-13,1049,136,1538
2021-05-14,1144,144,1538
2021-05-15,1144,144,1538
2021-05-16,1144,144,1538
2021-05-17,1144,144,1538
2021-05-18,1144,144,1538
2021-05-19,1206,158,1538
2021-05-20,1206,158,1734
2021-05-21,1206,158,1734
2021-05-22,1206,158,1734
2021-05-23,1206,158,1734
2021-05-24,1206,158,1734
2021-05-25,1298,172,1734
2021-05-26,1298,172,1734
2021-05-27,1298,172,1734
2021-05-28,1346,172,1891
2021-05-29,1346,172,1891
2021-05-30,1346,172,1891
2021-05-31,1346,172,1891
2021-06-01,1346,172,1891
2021-06-02,1346,172,1891
2021-06-03,1346,172,1891
2021-06-04,1359,187,2106
2021-06-05,1359,187,2106
2021-06-06,1359,187,2106
2021-06-07,1359,187,2106
2021-06-08,1359,187,2106
2021-06-09,1359,187,2106
2021-06-10,1375,189,2106
2021-06-11,1375,189,2106
2021-06-12,1375,189,2106
2021-06-13,1375,189,2106
2021-06-14,1375,189,2106
2021-06-15,1375,189,2106
2021-06-16,1375,189,2106
2021-06-17,1403,201,2106
2021-06-18,1403,201,2106
2021-06-19,1403,201,2106
2021-06-20,1403,201,2106
2021-06-21,1403,201,2106
2021-06-22,1403,201,2106
2021-06-23,1403,201,2106
2021-06-24,1403,201,2106
2021-06-25,1403,201,2106
2021-06-26,1403,201,2106
2021-06-27,1403,201,2106
2021-06-28,1403,201,2106
2021-06-29,1403,201,2106
2021-06-30,1403,201,2106
2021-07-01,1413,201,2106
2021-07-02,1413,201,2106
2021-07-03,1413,201,2106
2021-07-04,1413,201,2106
